========================================================================= 
Log Path: log_file.log 
Working Directory: /home/user/Projects/CUNY/bergeys.webscraper/misc 
User Name: user 
R Version: 4.3.1 (2023-06-16) 
Machine: pop-os x86_64 
Operating System: Linux 6.5.6-76060506-generic #202310061235~1697396945~22.04~9283e32 SMP PREEMPT_DYNAMIC Sun O 
Base Packages: stats graphics grDevices utils datasets methods base Other Packages: readr_2.1.4 logr_1.3.4 dplyr_1.1.3 purrr_1.0.2 stringr_1.5.0 rvest_1.0.3 
Log Start Time: 2023-11-10 11:15:26.462624 
========================================================================= 
Number of links: 1373 

Got Labedella † - Number 101. Time: 2023-11-10 11:18:02.122446. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00101/abstract 
Got Leifsonia † - Number 102. Time: 2023-11-10 11:18:03.410766. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00102/abstract 
Got Leucobacter † - Number 103. Time: 2023-11-10 11:18:04.787646. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00103/abstract 
Got Microbacterium † - Number 104. Time: 2023-11-10 11:18:06.042903. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00104/abstract 
Got Microcella † - Number 105. Time: 2023-11-10 11:18:07.021631. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00105/abstract 
Got Microterricola † - Number 106. Time: 2023-11-10 11:18:08.241551. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00106/abstract 
Got Mycetocola † - Number 107. Time: 2023-11-10 11:18:09.475518. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00107/abstract 
Got Okibacterium † - Number 108. Time: 2023-11-10 11:18:10.918932. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00108/abstract 
Got Phycicola † - Number 109. Time: 2023-11-10 11:18:12.028592. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00109/abstract 
Got Plantibacter † - Number 110. Time: 2023-11-10 11:18:13.306304. Link: http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00110/abstract 
